gene_set	signature_id	candidate_ids	expressed_ids	status
HRD_GENE_NEGATIVE	ENSG00000129187	1635	1635	matched
HRD_GENE_NEGATIVE	ENSG00000099977	1652;100037417	1652;100037417	ambiguous_expressed_mapping
HRD_GENE_NEGATIVE	ENSG00000273311	25786	25786	matched
HRD_GENE_NEGATIVE	ENSG00000198010	9228	9228	matched
HRD_GENE_NEGATIVE	ENSG00000115137	51277	51277	matched
HRD_GENE_NEGATIVE	ENSG00000119661	83544	83544	matched
HRD_GENE_NEGATIVE	ENSG00000123179	84650	84650	matched
HRD_GENE_NEGATIVE	ENSG00000131080	60401	60401	matched
HRD_GENE_NEGATIVE	ENSG00000173674	1964	1964	matched
HRD_GENE_NEGATIVE	ENSG00000175390	8665	8665	matched
HRD_GENE_NEGATIVE	ENSG00000089248	10961	10961	matched
HRD_GENE_NEGATIVE	ENSG00000143971	54465	54465	matched
HRD_GENE_NEGATIVE	ENSG00000197798	79607	79607	matched
HRD_GENE_NEGATIVE	ENSG00000109794	25854	25854	matched
HRD_GENE_NEGATIVE	ENSG00000051009	84067	84067	matched
HRD_GENE_NEGATIVE	ENSG00000158863	64760	64760	matched
HRD_GENE_NEGATIVE	ENSG00000185112	131583	131583	matched
HRD_GENE_NEGATIVE	ENSG00000078579	26281	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000260176	""	""	unmapped_annotation
HRD_GENE_NEGATIVE	ENSG00000125848	23767	23767	matched
HRD_GENE_NEGATIVE	ENSG00000102531	22862	22862	matched
HRD_GENE_NEGATIVE	ENSG00000168843	56884	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000141013	2622	2622	matched
HRD_GENE_NEGATIVE	ENSG00000239282	652968	652968	matched
HRD_GENE_NEGATIVE	ENSG00000266524	2662	2662	matched
HRD_GENE_NEGATIVE	ENSG00000165678	27069	27069	matched
HRD_GENE_NEGATIVE	ENSG00000181625	79008	79008	matched
HRD_GENE_NEGATIVE	ENSG00000082701	2932	2932	matched
HRD_GENE_NEGATIVE	ENSG00000273542	8362	8362	matched
HRD_GENE_NEGATIVE	ENSG00000113161	3156	3156	matched
HRD_GENE_NEGATIVE	ENSG00000168395	84289	84289	matched
HRD_GENE_NEGATIVE	ENSG00000102786	26512	26512	matched
HRD_GENE_NEGATIVE	ENSG00000104299	55756	55756	matched
HRD_GENE_NEGATIVE	ENSG00000176095	9807	9807	matched
HRD_GENE_NEGATIVE	ENSG00000168970	8681	8681	matched
HRD_GENE_NEGATIVE	ENSG00000053918	3784	3784	matched
HRD_GENE_NEGATIVE	ENSG00000198553	283518	283518	matched
HRD_GENE_NEGATIVE	ENSG00000164323	57587	57587	matched
HRD_GENE_NEGATIVE	ENSG00000084444	57613	57613	matched
HRD_GENE_NEGATIVE	ENSG00000158941	57805	57805	matched
HRD_GENE_NEGATIVE	ENSG00000185915	257240	257240	matched
HRD_GENE_NEGATIVE	ENSG00000166816	197257	197257	matched
HRD_GENE_NEGATIVE	ENSG00000215458	284837	284837	matched
HRD_GENE_NEGATIVE	LOC349196	""	""	unmapped_annotation
HRD_GENE_NEGATIVE	ENSG00000260335	""	""	unmapped_annotation
HRD_GENE_NEGATIVE	ENSG00000011009	11313	11313	matched
HRD_GENE_NEGATIVE	ENSG00000105695	4099	4099	matched
HRD_GENE_NEGATIVE	ENSG00000176055	153364	153364	matched
HRD_GENE_NEGATIVE	ENSG00000140943	8720	8720	matched
HRD_GENE_NEGATIVE	ENSG00000100427	23209	23209	matched
HRD_GENE_NEGATIVE	ENSG00000072415	64398	64398	matched
HRD_GENE_NEGATIVE	ENSG00000198015	28977	28977	matched
HRD_GENE_NEGATIVE	ENSG00000174579	55167	55167	matched
HRD_GENE_NEGATIVE	ENSG00000173531	4485	4485	matched
HRD_GENE_NEGATIVE	ENSG00000143033	22823	22823	matched
HRD_GENE_NEGATIVE	ENSG00000272573	389125	389125	matched
HRD_GENE_NEGATIVE	ENSG00000119950	4601	4601	matched
HRD_GENE_NEGATIVE	ENSG00000071909	140469	140469	matched
HRD_GENE_NEGATIVE	ENSG00000147813	93100	93100	matched
HRD_GENE_NEGATIVE	ENSG00000151779	51594	51594	matched
HRD_GENE_NEGATIVE	ENSG00000198496	10230	10230	matched
HRD_GENE_NEGATIVE	ENSG00000225470	554203	554203	matched
HRD_GENE_NEGATIVE	ENSG00000185633	56901	56901	matched
HRD_GENE_NEGATIVE	ENSG00000178057	25915	25915	matched
HRD_GENE_NEGATIVE	ENSG00000137601	4750	4750	matched
HRD_GENE_NEGATIVE	ENSG00000160602	284086	284086	matched
HRD_GENE_NEGATIVE	ENSG00000257108	283948	283948	matched
HRD_GENE_NEGATIVE	ENSG00000010322	11188	11188	matched
HRD_GENE_NEGATIVE	ENSG00000165066	157848	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000053438	4826	4826	matched
HRD_GENE_NEGATIVE	ENSG00000087263	55239	55239	matched
HRD_GENE_NEGATIVE	ENSG00000158006	5051	5051	matched
HRD_GENE_NEGATIVE	ENSG00000185345	5071	5071	matched
HRD_GENE_NEGATIVE	ENSG00000078674	5108	5108	matched
HRD_GENE_NEGATIVE	ENSG00000100731	22990	22990	matched
HRD_GENE_NEGATIVE	ENSG00000070047	57661	57661	matched
HRD_GENE_NEGATIVE	ENSG00000069943	9488	9488	matched
HRD_GENE_NEGATIVE	ENSG00000233670	644139	644139	matched
HRD_GENE_NEGATIVE	ENSG00000115556	84812	84812	matched
HRD_GENE_NEGATIVE	ENSG00000054690	57475	57475	matched
HRD_GENE_NEGATIVE	ENSG00000006757	8228	8228	matched
HRD_GENE_NEGATIVE	ENSG00000189266	55629	55629	matched
HRD_GENE_NEGATIVE	ENSG00000166794	5479	5479	matched
HRD_GENE_NEGATIVE	ENSG00000150687	11098	11098	matched
HRD_GENE_NEGATIVE	ENSG00000180822	389362	389362	matched
HRD_GENE_NEGATIVE	ENSG00000055917	23369	23369	matched
HRD_GENE_NEGATIVE	ENSG00000144840	285282	285282	matched
HRD_GENE_NEGATIVE	ENSG00000117625	55758	55758	matched
HRD_GENE_NEGATIVE	ENSG00000080298	5991	5991	matched
HRD_GENE_NEGATIVE	ENSG00000177963	60626	60626	matched
HRD_GENE_NEGATIVE	ENSG00000196204	441191	441191	matched
HRD_GENE_NEGATIVE	ENSG00000171848	6241	6241	matched
HRD_GENE_NEGATIVE	ENSG00000160188	89765	89765	matched
HRD_GENE_NEGATIVE	ENSG00000176225	25914	25914	matched
HRD_GENE_NEGATIVE	ENSG00000130066	6303	6303	matched
HRD_GENE_NEGATIVE	ENSG00000085365	9522	9522	matched
HRD_GENE_NEGATIVE	ENSG00000132330	51540	51540	matched
HRD_GENE_NEGATIVE	ENSG00000204370	6392	6392	matched
HRD_GENE_NEGATIVE	ENSG00000082684	54437	54437	matched
HRD_GENE_NEGATIVE	ENSG00000129158	26297	26297	matched
HRD_GENE_NEGATIVE	ENSG00000136169	83852	83852	matched
HRD_GENE_NEGATIVE	ENSG00000174326	162515	162515	matched
HRD_GENE_NEGATIVE	ENSG00000141526	9123	9123	matched
HRD_GENE_NEGATIVE	ENSG00000211584	55652	55652	matched
HRD_GENE_NEGATIVE	ENSG00000163071	132671	132671	matched
HRD_GENE_NEGATIVE	ENSG00000129128	60559	60559	matched
